Stop_IDs,Site Description,Site Type,Latitude,Longitude,Neighbours
6145,WaterFord Gate/Oakburn St,INT,43.8205023,-79.1435076,9732
9732,WarterFord Gate/Woodview Ave,INT,43.8201617,-79.145074,1043
4616,Waterford Gate/Altona Rd,INT,43.8210055,-79.138229,2569
2569,Kingston Rd/Altona Rd,INT,43.8078876,-79.1322244,7178;4616
7178,Kingston Rd/Sheppard Ave E,INT,43.7989288,-79.1462007,2569;8221;9756
1043,Woodview Ave/Twyn Rivers Dr,INT,43.8162973,-79.1434413,9732;9239
9239,Twyn Rivers Dr,INT,43.814598,-79.156965,1043;9756;9754
9754,Twyn Rivers Dr,INT,43.8116304,-79.156457,9756;1043;9239
9756,Twyn Rivers Dr/Sheppard Ave E,INT,43.8090377,-79.1662317,9754;7178;3613
3613,Sheppard Ave E/Meadowvale Rd,INT,43.8083819,-79.1708408,6718;9756;8227
8221,Ellesemere Rd/Kingston Rd,INT,43.7935569,-79.1545652,7178;8227
2083,Ellesmere Rd/Meadowvale Rd,INT,43.792511,-79.1635949,3639
8227,Kingston Rd/Meadowvale Rd,INT,43.7887995,-79.1621444,6194;8221;3613
6194,Kingston Rd/Military Trail,INT,43.7818963,-79.1730862,1115;8227;6195
6195,Military Trail/Conlins Rd,INT,43.7834997,-79.1816263,6194;5724;3639
3639,Ellesmere Rd/Conlins Rd,INT,43.7878967,-79.1832793,2083;5724;4165;6195
6718,Sheppard Ave E/Conlins Rd,INT,43.8041974,-79.1901144,3613;5705;4165
4165,Conlins Rd/Milner Ave,INT,43.8011946,-79.1887936,3639;6718;2121
5705,Sheppard Ave E/Morningside Ave,INT,43.8019923,-79.19983,6748;6718;2121
2121,Morningside Ave/Milner Ave,INT,43.8003352,-79.1991648,1103;5705;4165
1103,Ellesmere Rd/Morningside Ave,INT,43.7853394,-79.1933389,5935;5724;2121
1115,Kingston Rd/Morningside Ave,INT,43.770588,-79.1869262,6194;5383
5724,Ellesmere Rd/Military Trail,INT,43.7866067,-79.1883152,3639;1103;6195
6748,Sheppard Ave E/Neilson Rd,INT,43.7981603,-79.217691,9823;5705;5935
9823,Sheppard Ave E/Markham Rd,INT,43.7939165,-79.2388483,6748;7785;9514
7785,Sheppard Ave E/McCowan Rd,INT,43.7896724,-79.2589326,9823;8809;1826
8809,Sheppard Ave E/Brimley Rd,INT,43.787607,-79.2683765,9844;7785;7455
9844,Sheppard Ave E/Midland Ave,INT,43.7853747,-79.2786488,8809;5760;4379
5760,Sheppard Ave E/Kennedy Rd,INT,43.7833531,-79.2882833,3201;9844;4378
3201,Sheppard Ave E/Brichmount Rd,INT,43.7810913,-79.2981109,3713;5760;8985
3713,Sheppard Ave E/Warden Ave,INT,43.7788139,-79.3079385,8328;3201;7950
8328,Sheppard Ave E/Victoria Park Ave,INT,43.7752971,-79.3230653,3713;3220
3220,Ellesmere Rd/Victoria Park Ave,INT,43.7580108,-79.3154738,8979;8328;9883
9883,Victoria Park Ave/Lawrence Ave E,INT,43.7421059,-79.3098418,6327;3220;3888
2212,Victoria Park AveÂ /Eglinton Ave E,INT,43.7248128,-79.3027217,8037
6327,Victoria Park Ave/St Clair Ave E,INT,43.7088122,-79.2959908,9883;4292;6599
4292,Victoria Park Ave/Danforth Ave,INT,43.6912475,-79.2884377,6327;7882;4086
7882,Kingston Rd/Victoria Park Ave,INT,43.6808821,-79.2840551,4821;4292
4821,Kingston Rd/Warden Ave,INT,43.6877777,-79.2709466,7882;4316;4080
4316,Kingston Rd/Brichmount Rd,INT,43.6930484,-79.2623428,8924;4821;3561
8924,Kingston Rd/Danforth Ave,INT,43.7025706,-79.2535538,4316;6886;3561
6886,Kingston Rd/Midland Ave,INT,43.7111512,-79.2481912,8924;3814;4574
3814,Kingston Rd/Brimley Rd,INT,43.7182525,-79.2403747,6886;3306;1509
3306,Kingston Rd/St Clair Ave E,INT,43.7218852,-79.2362119,3814;6900;1509
6900,Kingston Rd/McCown Rd,INT,43.7251204,-79.2324661,4863;3306;5458
4863,Kingston Rd/Markham Rd,INT,43.7388318,-79.2170956,6900;2816;6085
2816,Kingston Rd/Eglinton Ave E,INT,43.7437768,-79.2116775,4863;8450;6085
8450,Kingston Rd/SGC Rd,INT,43.7463631,-79.2091453,5383;2816;7518
5383,Kingston Rd/Lawrence Ave E,INT,43.7676645,-79.1895718,8450;1115;5988
7950,Ellesmere Rd/Warden Ave,INT,43.7612101,-79.3008033,8979;8985;3713;6963
8979,Ellesmere Rd/Pharmacy Ave,INT,43.7590427,-79.3102382,7950;3220;3888
8985,Ellesmere Rd/Brichmount Rd,INT,43.7634284,-79.2913983,4378;7950;3201;6966
4378,Ellesmere Rd/Kennedy Rd,INT,43.7658576,-79.2810537,8985;4379;8582;5760
4379,Ellesmere Rd/Midland Ave,INT,43.7679461,-79.2711527,7455;4378;9844;7488
7455,Ellesmere Rd/Brimley Rd,INT,43.77011,-79.2612715,4379;1826;8809;1858
1826,Ellesmere Rd/McCowan Rd,INT,43.7721497,-79.2514348,9514;7455;3518;7785
9514,Ellesmere Rd/Markham Rd,INT,43.7764642,-79.2317338,1826;4908;9823;1366
3372,Ellesmere Rd/SGC Rd,INT,43.7785876,-79.222231,7518
4908,Ellesmere Rd/Orton Rd,INT,43.7797782,-79.2171511,9514;5935
5935,Ellesmere Rd/Neilson Rd,INT,43.7826602,-79.2050126,4908;1103;6748
3888,Lawrence Ave E/Pharmacy Ave,INT,43.743258,-79.3046234,6963;9883;8037;8979
6963,Lawrence Ave E/Warden Ave,INT,43.7453895,-79.294785,6966;3888;4974;7950
6966,Lawrence Ave E/Brichmount Rd,INT,43.7475194,-79.2848397,6963;9530;8066;8985
9530,Lawrence Ave E/kennedy Rd,INT,43.7495298,-79.2749577,6966;7488
7488,Lawrence Ave E/Midland Ave,INT,43.751531,-79.2650887,9530;1858;2447;4379
1858,Lawrence Ave E/Brimley Rd,INT,43.753546,-79.2553684,5458;7488;7072;7455
5458,Lawrence Ave E/McCown Rd,INT,43.7555328,-79.2454748,5459;1858;6900
5459,Lawrence Ave E/Bellamy Rd,INT,43.7577488,-79.2353402,5458;1366
1366,Lawrence Ave E/Markham Rd,INT,43.7598871,-79.2253147,5459;7518;6085;9514
7518,Lawrence Ave E/SGC Rd,INT,43.7618644,-79.215801,3427;1366;3372;8450
3427,Lawrence Ave E/Orton Park Rd,INT,43.7640673,-79.2056523,7518;5988
5988,Lawrence Ave E/Galloway Rd,INT,43.7661526,-79.1964415,3427;5383
8037,Eglinton Ave E/Pharmacy Ave,INT,43.7256171,-79.2975539,4974;2212;3888;6599
4974,Eglinton Ave E/Warden Ave,INT,43.7280127,-79.2875655,8037;8066;6963;5577
8066,Eglinton Ave E/Brichmount Rd,INT,43.7299354,-79.2779524,8582;4974;6966;3531
8582,Eglinton Ave E/Kennedy Rd,INT,43.7324162,-79.2681677,2447;8066;4378;6097
2447,Eglinton Ave E/Midland Ave,INT,43.7345869,-79.2582114,7072;8582;7488;4574
7072,Eglinton Ave E/Brimley Rd,INT,43.7368195,-79.2481692,2447;1452;1858;8120
1452,Eglinton Ave E/Danforth Rd,INT,43.7371595,-79.2461969,3518;7072;8120
8120,Brimley Rd/Danforth Rd,INT,43.7352681,-79.24742,1509;7072;7131;1452
3518,Eglinton Ave E/McCowan Rd,INT,43.7388184,-79.2384936,6085;1452;1826
6085,Eglinton Ave E/Markham Rd,INT,43.74318,-79.2189499,3518;2816;1366;4863
6599,St Clair Ave E/Pharmacy Ave,INT,43.7098509,-79.2909353,5577;6327;4086;8037
5577,St Clair Ave E/Warden Ave,INT,43.7121464,-79.2811292,3531;6599;4080;4974
3531,St Clair Ave E/Brichmount Rd,INT,43.714228,-79.2711203,5577;6097;8066;5608
6097,St Clair Ave E/Kennedy Rd,INT,43.7165699,-79.2613571,3531;7131;8582
7131,St Clair Ave E/Danforth Rd,INT,43.7169111,-79.2598551,4574;6097;8120;5608
4574,St Clair Ave E/Midland Ave,INT,43.7187876,-79.25139,1509;7131;2447;6886
1509,St Clair Ave E/Brimley Rd,INT,43.7208967,-79.2414766,4574;3306;8120;3814
5608,Brichmount Rd/Danforth Rd,INT,43.7071006,-79.2681683,3561;3531;7131
3561,Brichmount Rd/Danforth Ave,INT,43.697016,-79.2640215,5608;4316;8924;4080
4080,Danforth Ave/Warden Ave,INT,43.6945016,-79.2736871,3561;4086;5577;4821
4086,Danforth Ave/Pharmacy Ave,INT,43.6923562,-79.2834105,4080;4292;6599
